appid,name,playtime_forever,playtime_windows_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,has_community_visible_stats,playtime_2weeks,has_leaderboards
2012840,Portal with RTX,0,0,0,0,0,0,True,,
346110,ARK: Survival Evolved,0,0,0,0,0,0,True,,
407530,ARK: Survival Of The Fittest,0,0,0,0,0,0,,,
552500,Warhammer: Vermintide 2,0,0,0,0,0,0,True,,
40990,Mafia,0,0,0,0,0,0,,,
1774580,STAR WARS Jedi: Survivor™,2744,1075,1669,1669,1731295291,0,True,322.0,
1872550,Destroy All Humans! – Clone Carnage,0,0,0,0,0,0,True,,
1294660,Divine Knockout (DKO),0,0,0,0,0,0,True,,
493540,Figment,0,0,0,0,0,0,True,,
2324650,The Murder of Sonic the Hedgehog,0,0,0,0,0,0,,,
1712840,Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,0,0,0,0,0,0,True,,
263060,Blockstorm,0,0,0,0,0,0,True,,True
1144770,SLUDGE LIFE,0,0,0,0,0,0,True,,
544610,Battlestar Galactica Deadlock,0,0,0,0,0,0,True,,
226620,Desktop Dungeons,0,0,0,0,0,0,True,,
660160,Field of Glory II,0,0,0,0,0,0,True,,
43160,Metro: Last Light Complete Edition,0,0,0,0,0,0,True,,
1180660,Tell Me Why,0,0,0,0,0,0,True,,
2446550,STAR WARS™: Battlefront Classic Collection,922,0,922,922,1730421183,20,True,16.0,
383270,Hue,0,0,0,0,0,0,True,,
2230110,Fae Farm,2366,0,2366,2366,1714448180,0,True,,
282800,100% Orange Juice,0,0,0,0,0,0,True,,True
289130,ENDLESS™ Legend,0,0,0,0,0,0,True,,
489630,"Warhammer 40,000: Gladius - Relics of War",0,0,0,0,0,0,True,,
569610,Distant Space,0,0,0,0,0,0,True,,
585690,Minimalism,0,0,0,0,0,0,True,,
